=== 扫描记录 ===
扫描时间,2026-06-16T01:27:17.146635
文件ID,源路径,文件名,大小,修改时间,匹配规则
8d0f3fde2bfc,./examples/sample_invoices\2024年1月增值税专用发票_12345.pdf,2024年1月增值税专用发票_12345.pdf,66,1781544428.7568073,增值税专用发票
2064cfd3b5e2,./examples/sample_invoices\2024年1月增值税专用发票_67890.pdf,2024年1月增值税专用发票_67890.pdf,66,1781544428.757895,增值税专用发票
6ca9dbf67b63,./examples/sample_invoices\2024年2月增值税普通发票_ABCDE.pdf,2024年2月增值税普通发票_ABCDE.pdf,66,1781544428.757895,增值税普通发票
479ca93065d8,./examples/sample_invoices\notes.md,notes.md,32,1781544428.7622123,Markdown文档
0e9d9469b808,./examples/sample_invoices\出差报销单_202401.xlsx,出差报销单_202401.xlsx,51,1781544428.7599542,报销单Excel
295e4fdd1f92,./examples/sample_invoices\发票扫描件_出租车发票.png,发票扫描件_出租车发票.png,59,1781544428.7612412,发票图片PNG
c00c6992ef0c,./examples/sample_invoices\发票照片_餐厅发票.jpg,发票照片_餐厅发票.jpg,53,1781544428.7612412,发票图片
0750c074afbd,./examples/sample_invoices\未分类的文档.txt,未分类的文档.txt,46,1781544428.7622123,文本文档
7f38f293816a,./examples/sample_invoices\电子发票_20240115_001.pdf,电子发票_20240115_001.pdf,53,1781544428.757895,电子发票PDF
213e910adff2,./examples/sample_invoices\电子发票_20240116_002.pdf,电子发票_20240116_002.pdf,53,1781544428.758931,电子发票PDF
bcee5fa0fd2b,./examples/sample_invoices\采购合同_供应商A.docx,采购合同_供应商A.docx,52,1781544428.7599542,合同文档

=== 归档预案 ===
预案ID,创建时间,文件,源路径,目标路径,匹配规则,冲突类型,冲突详情
ed749f9e58e3,2026-06-16T01:27:09.984271,2024年1月增值税专用发票_12345.pdf,./examples/sample_invoices\2024年1月增值税专用发票_12345.pdf,./examples/archived\vat_special\2024年1月增值税专用发票_12345.pdf,增值税专用发票,target_exists,目标文件已存在: ./examples/archived\vat_special\2024年1月增值税专用发票_12345.pdf
ed749f9e58e3,2026-06-16T01:27:09.984271,2024年1月增值税专用发票_67890.pdf,./examples/sample_invoices\2024年1月增值税专用发票_67890.pdf,./examples/archived\vat_special\2024年1月增值税专用发票_67890.pdf,增值税专用发票,,
ed749f9e58e3,2026-06-16T01:27:09.984271,2024年2月增值税普通发票_ABCDE.pdf,./examples/sample_invoices\2024年2月增值税普通发票_ABCDE.pdf,./examples/archived\vat_normal\2024年2月增值税普通发票_ABCDE.pdf,增值税普通发票,,
ed749f9e58e3,2026-06-16T01:27:09.984271,出差报销单_202401.xlsx,./examples/sample_invoices\出差报销单_202401.xlsx,./examples/archived\reimbursement\出差报销单_202401.xlsx,报销单Excel,,
ed749f9e58e3,2026-06-16T01:27:09.984271,发票扫描件_出租车发票.png,./examples/sample_invoices\发票扫描件_出租车发票.png,./examples/archived\images/png\发票扫描件_出租车发票.png,发票图片PNG,,
ed749f9e58e3,2026-06-16T01:27:09.984271,发票照片_餐厅发票.jpg,./examples/sample_invoices\发票照片_餐厅发票.jpg,./examples/archived\images/jpg\发票照片_餐厅发票.jpg,发票图片JPG,,
ed749f9e58e3,2026-06-16T01:27:09.984271,电子发票_20240115_001.pdf,./examples/sample_invoices\电子发票_20240115_001.pdf,./examples/archived\electronic\电子发票_20240115_001.pdf,电子发票PDF,,
ed749f9e58e3,2026-06-16T01:27:09.984271,电子发票_20240116_002.pdf,./examples/sample_invoices\电子发票_20240116_002.pdf,./examples/archived\electronic\电子发票_20240116_002.pdf,电子发票PDF,,
ed749f9e58e3,2026-06-16T01:27:09.984271,采购合同_供应商A.docx,./examples/sample_invoices\采购合同_供应商A.docx,./examples/archived\contracts\采购合同_供应商A.docx,合同文档,,
f6b4c992f455,2026-06-16T01:27:17.615391,2024年1月增值税专用发票_12345.pdf,./examples/sample_invoices\2024年1月增值税专用发票_12345.pdf,./examples/archived\vat/special\2024年1月增值税专用发票_12345.pdf,增值税专用发票,,
f6b4c992f455,2026-06-16T01:27:17.615391,2024年1月增值税专用发票_67890.pdf,./examples/sample_invoices\2024年1月增值税专用发票_67890.pdf,./examples/archived\vat/special\2024年1月增值税专用发票_67890.pdf,增值税专用发票,,
f6b4c992f455,2026-06-16T01:27:17.615391,2024年2月增值税普通发票_ABCDE.pdf,./examples/sample_invoices\2024年2月增值税普通发票_ABCDE.pdf,./examples/archived\vat/normal\2024年2月增值税普通发票_ABCDE.pdf,增值税普通发票,,
f6b4c992f455,2026-06-16T01:27:17.615391,notes.md,./examples/sample_invoices\notes.md,./examples/archived\misc\notes.md,Markdown文档,,
f6b4c992f455,2026-06-16T01:27:17.615391,出差报销单_202401.xlsx,./examples/sample_invoices\出差报销单_202401.xlsx,./examples/archived\reimbursement\出差报销单_202401.xlsx,报销单Excel,,
f6b4c992f455,2026-06-16T01:27:17.615391,发票扫描件_出租车发票.png,./examples/sample_invoices\发票扫描件_出租车发票.png,./examples/archived\images\发票扫描件_出租车发票.png,发票图片PNG,,
f6b4c992f455,2026-06-16T01:27:17.615391,发票照片_餐厅发票.jpg,./examples/sample_invoices\发票照片_餐厅发票.jpg,./examples/archived\images\发票照片_餐厅发票.jpg,发票图片,,
f6b4c992f455,2026-06-16T01:27:17.615391,未分类的文档.txt,./examples/sample_invoices\未分类的文档.txt,./examples/archived\misc\未分类的文档.txt,文本文档,,
f6b4c992f455,2026-06-16T01:27:17.615391,电子发票_20240115_001.pdf,./examples/sample_invoices\电子发票_20240115_001.pdf,./examples/archived\electronic\电子发票_20240115_001.pdf,电子发票PDF,,
f6b4c992f455,2026-06-16T01:27:17.615391,电子发票_20240116_002.pdf,./examples/sample_invoices\电子发票_20240116_002.pdf,./examples/archived\electronic\电子发票_20240116_002.pdf,电子发票PDF,,
f6b4c992f455,2026-06-16T01:27:17.615391,采购合同_供应商A.docx,./examples/sample_invoices\采购合同_供应商A.docx,./examples/archived\contracts\采购合同_供应商A.docx,合同文档,,

=== 执行记录 ===
执行ID,预案ID,是否预演,撤销状态,创建时间,完成时间,文件,源->目标,状态,执行时间,错误信息
0af7af458109,f6b4c992f455,否,已撤销,2026-06-16T01:27:19.483455,2026-06-16T01:27:19.533084,2024年2月增值税普通发票_ABCDE.pdf,./examples/sample_invoices\2024年2月增值税普通发票_ABCDE.pdf -> ./examples/archived\vat/normal\2024年2月增值税普通发票_ABCDE.pdf,moved,2026-06-16T01:27:19.529632,
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,2024年1月增值税专用发票_12345.pdf,./examples/sample_invoices\2024年1月增值税专用发票_12345.pdf -> ./examples/archived\vat/special\2024年1月增值税专用发票_12345.pdf,skipped_manual,2026-06-16T01:27:20.465956,规则不在筛选范围内: 增值税专用发票
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,2024年1月增值税专用发票_67890.pdf,./examples/sample_invoices\2024年1月增值税专用发票_67890.pdf -> ./examples/archived\vat/special\2024年1月增值税专用发票_67890.pdf,skipped_manual,2026-06-16T01:27:20.469200,规则不在筛选范围内: 增值税专用发票
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,2024年2月增值税普通发票_ABCDE.pdf,./examples/sample_invoices\2024年2月增值税普通发票_ABCDE.pdf -> ./examples/archived\vat/normal\2024年2月增值税普通发票_ABCDE.pdf,skipped_manual,2026-06-16T01:27:20.472359,规则不在筛选范围内: 增值税普通发票
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,notes.md,./examples/sample_invoices\notes.md -> ./examples/archived\misc\notes.md,skipped_manual,2026-06-16T01:27:20.474467,规则不在筛选范围内: Markdown文档
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,出差报销单_202401.xlsx,./examples/sample_invoices\出差报销单_202401.xlsx -> ./examples/archived\reimbursement\出差报销单_202401.xlsx,skipped_manual,2026-06-16T01:27:20.477100,规则不在筛选范围内: 报销单Excel
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,发票扫描件_出租车发票.png,./examples/sample_invoices\发票扫描件_出租车发票.png -> ./examples/archived\images\发票扫描件_出租车发票.png,skipped_manual,2026-06-16T01:27:20.479158,规则不在筛选范围内: 发票图片PNG
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,发票照片_餐厅发票.jpg,./examples/sample_invoices\发票照片_餐厅发票.jpg -> ./examples/archived\images\发票照片_餐厅发票.jpg,skipped_manual,2026-06-16T01:27:20.483973,规则不在筛选范围内: 发票图片
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,未分类的文档.txt,./examples/sample_invoices\未分类的文档.txt -> ./examples/archived\misc\未分类的文档.txt,skipped_manual,2026-06-16T01:27:20.485997,规则不在筛选范围内: 文本文档
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,采购合同_供应商A.docx,./examples/sample_invoices\采购合同_供应商A.docx -> ./examples/archived\contracts\采购合同_供应商A.docx,skipped_manual,2026-06-16T01:27:20.489112,规则不在筛选范围内: 合同文档
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,电子发票_20240115_001.pdf,./examples/sample_invoices\电子发票_20240115_001.pdf -> ./examples/archived\electronic\电子发票_20240115_001.pdf,moved,2026-06-16T01:27:20.492117,
8386bc4602ba,f6b4c992f455,否,未撤销,2026-06-16T01:27:20.462061,2026-06-16T01:27:20.499996,电子发票_20240116_002.pdf,./examples/sample_invoices\电子发票_20240116_002.pdf -> ./examples/archived\electronic\电子发票_20240116_002.pdf,moved,2026-06-16T01:27:20.496054,

=== 撤销记录 ===
执行ID,撤销时间,恢复数量,状态
577fcb184400,2026-06-16T01:27:13.225754,8,completed
6041a437dd39,2026-06-16T01:27:16.654590,3,completed
c7bc665a0272,2026-06-16T01:27:19.047948,2,completed
0af7af458109,2026-06-16T01:27:20.058976,3,completed
